VIDEO,TIME_START,DESCRIPTION
11_final,0,"Okay, here's a description of the video for someone who can't see it:

Imagine a mostly white, human-shaped robot standing on a black and white checkered floor. It has black circular accents on its arms and legs. The robot is surrounded by people; you can hear their voices.

The robot starts moving its arms in a jerky, almost awkward way, as if it's trying to dance. Its arms move up and down, and it seems to struggle to maintain balance. It's not a smooth or graceful dance! You can hear some laughter in the background, suggesting the robot's movements are a bit comical. 

At one point, the robot raises both its arms straight up in the air, like it's celebrating or surrendering. The overall impression is that this is a demonstration or test of the robot's capabilities, and it's a bit clumsy and endearing in its efforts.
"
11_final,0.5,"Okay, here's a description of the video for someone who can't see it:

Imagine a small, humanoid robot, mostly white with black accents and a few blue details. It's standing on a floor with black and white tiles. The robot's arms are raised in front of it, slightly bent at the elbows. It looks like it's trying to hold something or maybe even dancing.

The robot's head is round and expressive with something resembling eyes. It almost seems like it's looking at something. There are people standing nearby, just out of focus. It feels like they are observing the robot. The robot doesn't speak or make any sounds in the video. The atmosphere seems curious and perhaps a bit impressed. It gives off the sense of a demonstration or an exhibition.
"
11_final,1,"Okay, here's a summary of the video for someone who can't see it:

Imagine a brightly lit room with a black and white checkered floor. In the center of the frame stands a small, humanoid robot, mostly white with some black and blue accents. It's not very tall, maybe around waist-high to an adult.

The robot is moving! It's waving its arms in the air, bending at its ""waist,"" and generally moving in a somewhat jerky, but enthusiastic way. It's like it's trying to dance or maybe doing some kind of physical exercise routine. The robot's movements are not perfectly smooth, giving it a slightly comical and endearing quality.

Behind the robot, you can sense the presence of people – possibly onlookers or handlers. There are shapes in dark suits and we can tell that they are observing the robot's actions. The atmosphere seems curious, with a sense of slight amusement and maybe a little pride in the robot's capabilities. The robot is the clear focal point, doing its best to demonstrate its agility and programming.
"
11_final,1.5,"Okay, here's a summary of the video for someone who can't see it:

Imagine a room with a black and white checkered floor.  A robot, mostly white with some blue accents, is standing in the center. It looks humanoid, with a head, torso, arms and legs.  It's stiff, but it's moving.

The robot is awkwardly raising its arms, one at a time, in a sort of half-hearted wave.  It doesn't look graceful; it's more like a practice movement. It kind of resembles someone just learning to dance.

In the background, you can hear voices and the soft rustle of people moving.  There are people standing around watching the robot, like they are observing some kind of a demonstration. You don't hear them reacting strongly; it's more of a quiet, observant atmosphere.

Overall, the video depicts a demonstration of a somewhat clumsy robot making simple movements while people watch in the background. There is a sense of observation and anticipation, as if people are waiting to see what the robot will do next.
"
11_final,2,"Okay, imagine this: There's a humanoid robot, mostly white with black and blue accents, standing on a black and white tiled floor. It seems to be flexing its arms. It’s moving them up and down, kind of like someone warming up before a workout or maybe even trying to do a little dance. You can't hear any music, but the way it's moving its limbs makes you think it might be grooving to an unheard beat. 

Behind the robot, there are a couple of people standing with their arms crossed. They appear to be observing the robot's movements, almost like they're assessing its performance. They seem fairly neutral, not overly impressed or disappointed, just calmly watching the robot do its thing. The scene feels like a laboratory or a workshop, with tables and equipment in the background, giving you the impression that this is all about testing and development.
"
11_final,2.5,"Okay, here's a description of the video for someone who can't see it:

The video shows a small, humanoid robot. It's mostly white with some black and blue accents. The robot is standing on a black and white checkered floor.

The robot has a friendly, almost cartoonish face. It appears to be smiling or expressing a happy emotion.

The robot's main action is waving its arms. It extends them out to the sides, creating a welcoming or demonstrative gesture. It's as if the robot is greeting someone or showing off its movements.

There are people in the background, but they don't seem to be directly interacting with the robot. They're just standing or walking nearby, observing it.
"
11_final,3,"Okay, here's a description of the video focusing on the key details for someone who can't see it:

Imagine a small, humanoid robot. It's mostly white with some blue accents on its joints and around what would be its hands and feet. It has a rounded head with a black, eye-like circle on its front. It's standing on a tiled floor with a black and white checkerboard pattern.

The robot seems to be trying to walk. It takes very deliberate, slightly jerky steps, almost like it's learning. It moves its arms out to the sides for balance as it walks.

The robot moves forward a little bit, takes a step, and pauses. Someone walks past it in the background, a dark figure, but doesn't interact with the robot. The robot continues taking careful steps forward.

It's not expressing any obvious emotion, but its movements suggest it's working hard at balancing and moving. It comes across as determined and possibly a little awkward.
"
11_final,3.5,"Okay, here's a description of the video for someone who can't see it:

Imagine a small, humanoid robot, mostly white with some blue accents, standing on a black and white checkered floor.  It's shaped a bit like a rounded cartoon character, with a round head and a sort of barrel-shaped body. 

The robot is doing a very basic dance. It's moving its arms stiffly, reaching one out to the side and then the other, as if it's waving its arms around a little. Its legs are also moving somewhat, but mostly just bending its knees slightly, giving it a sort of bouncy, albeit awkward, motion.

There are people in the background, but they're mostly blurred. The main focus is on the robot and its dance. There's no sound, so we can't know for sure if it's dancing to music, but it certainly *looks* like it's trying to dance! It's a little clunky and uncoordinated, but there's something endearing about its efforts. The overall impression is one of slightly clumsy, but determined, enthusiasm.
"
11_final,4,"Okay, here's a description of the video for someone who can't see it:

Imagine a small, humanoid robot standing on a tiled floor with a black and white checkered pattern. It's mostly white with some black and blue accents. Its head is round, with what appears to be a visor-like eye. The robot stands about three feet tall, and it has arms that are outstretched. 

The robot begins to move, wiggling its arms and moving in a sort of stiff, almost jerky dance. It's not graceful, but it's definitely trying to move rhythmically. It seems to be interacting with people who are standing around it, though they are slightly blurred in the background. Its movements are simple, almost like a child learning to dance. There's a feeling of amusement, as the robot's stiff movements are endearing. The atmosphere is casual, suggesting a demonstration or exhibition of the robot's capabilities.
"
11_final,4.5,"Okay, here's a summary of the video for someone who can't see it:

Imagine a small, white robot standing on a black and white checkered floor. It's humanoid in shape, with a rounded head and torso, and has black accents. It's not very tall, maybe about knee-high to an adult human. The robot seems to be programmed to dance! It's moving its arms and legs in a somewhat jerky, but deliberate fashion. It extends its arms out to the sides, then pulls them back in, as it shifts its weight from foot to foot. There are people standing around it, mostly out of focus in the background, and they appear to be watching the robot perform. There's a sense of amusement and curiosity in the air, like people are intrigued by this little dancing machine. The robot continues its programmed movements, giving off a sense of technological novelty and perhaps even a little bit of charm despite its mechanical nature.
"
