model,accuracy,precision,recall,f1_score,n_predictions,n_videos,n_participants
deepseek-ocr_1s,0.5350757161101988,0.0,0.0,0.0,29.82758620689655,29.82758620689655,29
deepseek-ocr_3s,0.5181666306185896,0.0,0.0,0.0,17.0,17.0,29
gemma3_1s,0.449981755154169,0.45446447442776866,0.9452491474043199,0.6077304926343765,29.82758620689655,29.82758620689655,29
gemma3_3s,0.46682322739358084,0.471704105474256,0.957183908045977,0.6193742960492061,17.0,17.0,29
llava32vision_1s,0.46005291005291005,0.46279452393984416,0.9850383743240886,0.6231404834037362,29.821428571428573,29.821428571428573,28
llava32vision_3s,0.46982085030019266,0.4720378590307596,0.8518995372443648,0.5643492995047967,17.0,17.0,29
llava_1s,0.4626254333150885,0.46385412931191766,0.9957854406130269,0.626532280666793,29.82758620689655,29.82758620689655,29
llava_3s,0.48183336938141036,0.48183336938141036,1.0,0.6372764000532591,17.0,17.0,29
llavallama3_1s,0.4623791278963693,0.4110098027115679,0.510358264441749,0.4254579269322997,29.82758620689655,29.82758620689655,29
llavallama3_3s,0.4316245793813318,0.3738842293609028,0.5527837105423312,0.42652556791321,17.0,17.0,29
mistralsmall32_1s,0.45827403758438245,0.4503340337823097,0.812132742736191,0.565484560310363,29.82758620689655,29.82758620689655,29
mistralsmall32_3s,0.4366072362509321,0.44422821656594474,0.8195423350595764,0.5615590657186179,17.0,17.0,29
qwen3_1s,0.48717387338076995,0.4581943928570751,0.4821070188130079,0.4190142182822243,29.82758620689655,29.82758620689655,29
qwen3_3s,0.47750726122269843,0.4140881399835708,0.46770757977654526,0.38828590278718156,17.0,17.0,29
