Model,Mode_Accuracy,Last_Accuracy,Diff_Accuracy,Mode_F1,Last_F1,Diff_F1
deepseek-ocr_1s,0.5352601156069364,0.5352601156069364,0.0,0.0,0.0,0.0
deepseek-ocr_3s,0.5192697768762677,0.5192697768762677,0.0,0.0,0.0,0.0
gemma3_1s,0.44971098265895953,0.44971098265895953,0.0,0.6161290322580645,0.6161290322580645,0.0
gemma3_3s,0.4665314401622718,0.45841784989858014,-0.008113590263691683,0.6352288488210819,0.6265734265734266,-0.008655422247655253
llava32vision_1s,0.4598802395209581,0.4598802395209581,0.0,0.6294165981922761,0.6294165981922761,0.0
llava32vision_3s,0.4726166328600406,0.4563894523326572,-0.016227180527383367,0.6036585365853658,0.5851393188854489,-0.018519217699916934
llava_1s,0.4624277456647399,0.4624277456647399,0.0,0.6324110671936759,0.6324110671936759,0.0
llava_3s,0.48073022312373226,0.48073022312373226,0.0,0.6493150684931507,0.6464088397790055,-0.0029062287141451426
llavallama3_1s,0.4624277456647399,0.4624277456647399,0.0,0.4697833523375142,0.4697833523375142,0.0
llavallama3_3s,0.4340770791075051,0.48073022312373226,0.046653144016227166,0.4991023339317774,0.4980392156862745,-0.0010631182455028698
mistralsmall32_1s,0.4578034682080925,0.4578034682080925,0.0,0.5838509316770186,0.5838509316770186,0.0
mistralsmall32_3s,0.43610547667342797,0.4563894523326572,0.020283975659229236,0.5875370919881305,0.5902140672782875,0.00267697529015698
qwen3_1s,0.4867052023121387,0.4867052023121387,0.0,0.47393364928909953,0.47393364928909953,0.0
qwen3_3s,0.4787018255578093,0.4847870182555781,0.006085192697768749,0.4808080808080808,0.4595744680851064,-0.021233612722974415
