model,accuracy,precision,recall,f1_score,n_predictions,n_videos,avg_participants_per_video
deepseek-ocr_1s,0.5352601156069364,0.0,0.0,0.0,865,30,28.833333333333332
deepseek-ocr_3s,0.5192697768762677,0.0,0.0,0.0,493,30,16.433333333333334
gemma3_1s,0.44971098265895953,0.45584725536992843,0.9502487562189055,0.6161290322580645,865,30,28.833333333333332
gemma3_3s,0.45841784989858014,0.4686192468619247,0.9451476793248945,0.6265734265734266,493,30,16.433333333333334
llava32vision_1s,0.4598802395209581,0.46256038647342995,0.9845758354755784,0.6294165981922761,835,30,27.833333333333332
llava32vision_3s,0.4563894523326572,0.4621026894865526,0.7974683544303798,0.5851393188854489,493,30,16.433333333333334
llava_1s,0.4624277456647399,0.46349942062572425,0.9950248756218906,0.6324110671936759,865,30,28.833333333333332
llava_3s,0.48073022312373226,0.4804928131416838,0.9873417721518988,0.6464088397790055,493,30,16.433333333333334
llavallama3_1s,0.4624277456647399,0.4336842105263158,0.5124378109452736,0.4697833523375142,865,30,28.833333333333332
llavallama3_3s,0.48073022312373226,0.4652014652014652,0.5358649789029536,0.4980392156862745,493,30,16.433333333333334
mistralsmall32_1s,0.4578034682080925,0.45379310344827584,0.818407960199005,0.5838509316770186,865,30,28.833333333333332
mistralsmall32_3s,0.4563894523326572,0.4628297362110312,0.8143459915611815,0.5902140672782875,493,30,16.433333333333334
qwen3_1s,0.4867052023121387,0.45248868778280543,0.4975124378109453,0.47393364928909953,865,30,28.833333333333332
qwen3_3s,0.4847870182555781,0.463519313304721,0.45569620253164556,0.4595744680851064,493,30,16.433333333333334
