model,accuracy,precision,recall,f1_score,n_predictions,n_videos,avg_participants_per_video
deepseek-ocr_1s,0.5352601156069364,0.0,0.0,0.0,865,30,28.833333333333332
deepseek-ocr_3s,0.5210084033613446,0.0,0.0,0.0,476,30,15.866666666666667
gemma3_1s,0.4531791907514451,0.45798816568047335,0.9626865671641791,0.6206896551724138,865,30,28.833333333333332
gemma3_3s,0.453125,0.4715447154471545,0.9206349206349206,0.6236559139784946,128,30,4.266666666666667
llava32vision_1s,0.46467065868263474,0.4651442307692308,0.9948586118251928,0.6339066339066339,835,30,27.833333333333332
llava32vision_3s,0.4930555555555556,0.4965034965034965,0.9861111111111112,0.6604651162790698,144,30,4.8
llava_1s,0.4635838150289017,0.46412037037037035,0.9975124378109452,0.6334913112164297,865,30,28.833333333333332
llava_3s,0.48073022312373226,0.48073022312373226,1.0,0.6493150684931507,493,30,16.433333333333334
mistralsmall32_1s,0.4,0.37037037037037035,0.9090909090909091,0.5263157894736842,30,30,1.0
qwen3_1s,0.47861271676300576,0.45504587155963305,0.6169154228855721,0.5237592397043295,865,30,28.833333333333332
qwen3_3s,0.4787018255578093,0.46124031007751937,0.5021097046413502,0.4808080808080808,493,30,16.433333333333334
