model,accuracy,precision,recall,f1_score,n_predictions,n_videos,avg_participants_per_video
deepseek-ocr_1s,0.5352601156069364,0.0,0.0,0.0,865,30,28.833333333333332
deepseek-ocr_3s,0.5192697768762677,0.0,0.0,0.0,493,30,16.433333333333334
gemma3_1s,0.44971098265895953,0.45584725536992843,0.9502487562189055,0.6161290322580645,865,30,28.833333333333332
gemma3_3s,0.4665314401622718,0.4731404958677686,0.9662447257383966,0.6352288488210819,493,30,16.433333333333334
llava32vision_1s,0.4598802395209581,0.46256038647342995,0.9845758354755784,0.6294165981922761,835,30,27.833333333333332
llava32vision_3s,0.4726166328600406,0.47255369928400953,0.8354430379746836,0.6036585365853658,493,30,16.433333333333334
llava_1s,0.4624277456647399,0.46349942062572425,0.9950248756218906,0.6324110671936759,865,30,28.833333333333332
llava_3s,0.48073022312373226,0.48073022312373226,1.0,0.6493150684931507,493,30,16.433333333333334
llavallama3_1s,0.4624277456647399,0.4336842105263158,0.5124378109452736,0.4697833523375142,865,30,28.833333333333332
llavallama3_3s,0.4340770791075051,0.434375,0.5864978902953587,0.4991023339317774,493,30,16.433333333333334
mistralsmall32_1s,0.4578034682080925,0.45379310344827584,0.818407960199005,0.5838509316770186,865,30,28.833333333333332
mistralsmall32_3s,0.43610547667342797,0.45308924485125857,0.8354430379746836,0.5875370919881305,493,30,16.433333333333334
qwen3_1s,0.4867052023121387,0.45248868778280543,0.4975124378109453,0.47393364928909953,865,30,28.833333333333332
qwen3_3s,0.4787018255578093,0.46124031007751937,0.5021097046413502,0.4808080808080808,493,30,16.433333333333334
