model,accuracy,precision,recall,f1_score,n_predictions,n_videos
deepseek-ocr_1s,0.5666666666666667,0.0,0.0,0.0,895,30
deepseek-ocr_3s,0.5666666666666667,0.0,0.0,0.0,494,30
gemma3_1s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,895,30
gemma3_3s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,128,30
llava32vision_1s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,865,30
llava32vision_3s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,144,30
llava_1s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,895,30
llava_3s,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,511,30
mistralsmall32_1s,0.3333333333333333,0.37037037037037035,0.7692307692307693,0.5,30,30
qwen3_1s,0.36666666666666664,0.39285714285714285,0.8461538461538461,0.5365853658536586,895,30
qwen3_3s,0.5,0.4375,0.5384615384615384,0.4827586206896552,511,30
