model,dataset_duration,participant,frame_file,frame_name,outcome_prediction,video_name
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0015.png,q_10_main_0_30fps_frame0015,poorly,q_10
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0030.png,q_10_main_0_30fps_frame0030,poorly,q_10
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0045.png,q_10_main_0_30fps_frame0045,poorly,q_10
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0060.png,q_10_main_0_30fps_frame0060,poorly,q_10
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0075.png,q_10_main_0_30fps_frame0075,poorly,q_10
gemma3_3s,3s,1048,q_10_main_0_30fps_frame0090.png,q_10_main_0_30fps_frame0090,poorly,q_10
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0015.png,q_12_main_1_30fps_frame0015,poorly,q_12
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0030.png,q_12_main_1_30fps_frame0030,poorly,q_12
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0045.png,q_12_main_1_30fps_frame0045,poorly,q_12
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0060.png,q_12_main_1_30fps_frame0060,poorly,q_12
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0075.png,q_12_main_1_30fps_frame0075,poorly,q_12
gemma3_3s,3s,1048,q_12_main_1_30fps_frame0090.png,q_12_main_1_30fps_frame0090,poorly,q_12
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0014.png,q_14_main_0_30fps_frame0014,poorly,q_14
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0029.png,q_14_main_0_30fps_frame0029,poorly,q_14
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0044.png,q_14_main_0_30fps_frame0044,poorly,q_14
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0059.png,q_14_main_0_30fps_frame0059,poorly,q_14
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0074.png,q_14_main_0_30fps_frame0074,poorly,q_14
gemma3_3s,3s,1048,q_14_main_0_30fps_frame0089.png,q_14_main_0_30fps_frame0089,poorly,q_14
gemma3_3s,3s,1048,q_15_main_1_30fps_frame0013.png,q_15_main_1_30fps_frame0013,poorly,q_15
gemma3_3s,3s,1048,q_15_main_1_30fps_frame0028.png,q_15_main_1_30fps_frame0028,poorly,q_15
gemma3_3s,3s,1048,q_15_main_1_30fps_frame0043.png,q_15_main_1_30fps_frame0043,poorly,q_15
gemma3_3s,3s,1048,q_15_main_1_30fps_frame0058.png,q_15_main_1_30fps_frame0058,poorly,q_15
