model,dataset_duration,participant,frame_file,frame_name,outcome_prediction,video_name
mistralsmall32_1s,1s,1048,q_10_main_0_30fps_frame0015.png,q_10_main_0_30fps_frame0015,poorly,q_10
mistralsmall32_1s,1s,1048,q_10_main_0_30fps_frame0030.png,q_10_main_0_30fps_frame0030,poorly,q_10
mistralsmall32_1s,1s,1048,q_11_main_0_30fps_frame0014.png,q_11_main_0_30fps_frame0014,poorly,q_11
mistralsmall32_1s,1s,1048,q_11_main_0_30fps_frame0029.png,q_11_main_0_30fps_frame0029,poorly,q_11
mistralsmall32_1s,1s,1048,q_12_main_1_30fps_frame0015.png,q_12_main_1_30fps_frame0015,poorly,q_12
mistralsmall32_1s,1s,1048,q_12_main_1_30fps_frame0030.png,q_12_main_1_30fps_frame0030,poorly,q_12
mistralsmall32_1s,1s,1048,q_13_main_0_30fps_frame0015.png,q_13_main_0_30fps_frame0015,well,q_13
mistralsmall32_1s,1s,1048,q_13_main_0_30fps_frame0030.png,q_13_main_0_30fps_frame0030,well,q_13
mistralsmall32_1s,1s,1048,q_14_main_0_30fps_frame0014.png,q_14_main_0_30fps_frame0014,well,q_14
mistralsmall32_1s,1s,1048,q_14_main_0_30fps_frame0029.png,q_14_main_0_30fps_frame0029,well,q_14
mistralsmall32_1s,1s,1048,q_15_main_1_30fps_frame0013.png,q_15_main_1_30fps_frame0013,well,q_15
mistralsmall32_1s,1s,1048,q_15_main_1_30fps_frame0028.png,q_15_main_1_30fps_frame0028,poorly,q_15
mistralsmall32_1s,1s,1048,q_16_main_1_30fps_frame0015.png,q_16_main_1_30fps_frame0015,poorly,q_16
mistralsmall32_1s,1s,1048,q_16_main_1_30fps_frame0030.png,q_16_main_1_30fps_frame0030,poorly,q_16
mistralsmall32_1s,1s,1048,q_17_main_1_30fps_frame0013.png,q_17_main_1_30fps_frame0013,poorly,q_17
mistralsmall32_1s,1s,1048,q_17_main_1_30fps_frame0028.png,q_17_main_1_30fps_frame0028,poorly,q_17
mistralsmall32_1s,1s,1048,q_18_main_0_30fps_frame0014.png,q_18_main_0_30fps_frame0014,poorly,q_18
mistralsmall32_1s,1s,1048,q_18_main_0_30fps_frame0029.png,q_18_main_0_30fps_frame0029,poorly,q_18
mistralsmall32_1s,1s,1048,q_19_main_0_30fps_frame0014.png,q_19_main_0_30fps_frame0014,poorly,q_19
mistralsmall32_1s,1s,1048,q_19_main_0_30fps_frame0029.png,q_19_main_0_30fps_frame0029,poorly,q_19
mistralsmall32_1s,1s,1048,q_1_main_0_30fps_frame0014.png,q_1_main_0_30fps_frame0014,poorly,q_1
mistralsmall32_1s,1s,1048,q_1_main_0_30fps_frame0029.png,q_1_main_0_30fps_frame0029,poorly,q_1
mistralsmall32_1s,1s,1048,q_20_main_0_30fps_frame0014.png,q_20_main_0_30fps_frame0014,well,q_20
mistralsmall32_1s,1s,1048,q_20_main_0_30fps_frame0029.png,q_20_main_0_30fps_frame0029,poorly,q_20
mistralsmall32_1s,1s,1048,q_21_main_1_30fps_frame0014.png,q_21_main_1_30fps_frame0014,poorly,q_21
mistralsmall32_1s,1s,1048,q_21_main_1_30fps_frame0029.png,q_21_main_1_30fps_frame0029,poorly,q_21
mistralsmall32_1s,1s,1048,q_22_main_0_30fps_frame0012.png,q_22_main_0_30fps_frame0012,poorly,q_22
mistralsmall32_1s,1s,1048,q_22_main_0_30fps_frame0027.png,q_22_main_0_30fps_frame0027,poorly,q_22
mistralsmall32_1s,1s,1048,q_23_main_0_30fps_frame0014.png,q_23_main_0_30fps_frame0014,poorly,q_23
mistralsmall32_1s,1s,1048,q_23_main_0_30fps_frame0029.png,q_23_main_0_30fps_frame0029,poorly,q_23
mistralsmall32_1s,1s,1048,q_24_main_0_30fps_frame0014.png,q_24_main_0_30fps_frame0014,poorly,q_24
mistralsmall32_1s,1s,1048,q_24_main_0_30fps_frame0029.png,q_24_main_0_30fps_frame0029,poorly,q_24
mistralsmall32_1s,1s,1048,q_25_main_0_30fps_frame0014.png,q_25_main_0_30fps_frame0014,poorly,q_25
mistralsmall32_1s,1s,1048,q_25_main_0_30fps_frame0029.png,q_25_main_0_30fps_frame0029,poorly,q_25
mistralsmall32_1s,1s,1048,q_26_main_0_30fps_frame0014.png,q_26_main_0_30fps_frame0014,poorly,q_26
mistralsmall32_1s,1s,1048,q_26_main_0_30fps_frame0029.png,q_26_main_0_30fps_frame0029,poorly,q_26
mistralsmall32_1s,1s,1048,q_27_main_0_30fps_frame0013.png,q_27_main_0_30fps_frame0013,poorly,q_27
mistralsmall32_1s,1s,1048,q_27_main_0_30fps_frame0028.png,q_27_main_0_30fps_frame0028,poorly,q_27
mistralsmall32_1s,1s,1048,q_28_main_1_30fps_frame0015.png,q_28_main_1_30fps_frame0015,poorly,q_28
mistralsmall32_1s,1s,1048,q_28_main_1_30fps_frame0030.png,q_28_main_1_30fps_frame0030,poorly,q_28
mistralsmall32_1s,1s,1048,q_29_main_0_30fps_frame0015.png,q_29_main_0_30fps_frame0015,poorly,q_29
mistralsmall32_1s,1s,1048,q_29_main_0_30fps_frame0030.png,q_29_main_0_30fps_frame0030,poorly,q_29
mistralsmall32_1s,1s,1048,q_2_main_1_30fps_frame0014.png,q_2_main_1_30fps_frame0014,poorly,q_2
mistralsmall32_1s,1s,1048,q_2_main_1_30fps_frame0029.png,q_2_main_1_30fps_frame0029,well,q_2
mistralsmall32_1s,1s,1048,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,poorly,q_30
mistralsmall32_1s,1s,1048,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,poorly,q_30
mistralsmall32_1s,1s,1048,q_3_main_1_30fps_frame0014.png,q_3_main_1_30fps_frame0014,well,q_3
mistralsmall32_1s,1s,1048,q_3_main_1_30fps_frame0029.png,q_3_main_1_30fps_frame0029,well,q_3
mistralsmall32_1s,1s,1048,q_4_main_1_30fps_frame0014.png,q_4_main_1_30fps_frame0014,poorly,q_4
mistralsmall32_1s,1s,1048,q_4_main_1_30fps_frame0029.png,q_4_main_1_30fps_frame0029,poorly,q_4
mistralsmall32_1s,1s,1048,q_5_main_0_30fps_frame0015.png,q_5_main_0_30fps_frame0015,poorly,q_5
mistralsmall32_1s,1s,1048,q_5_main_0_30fps_frame0030.png,q_5_main_0_30fps_frame0030,well,q_5
mistralsmall32_1s,1s,1048,q_6_main_1_30fps_frame0015.png,q_6_main_1_30fps_frame0015,poorly,q_6
mistralsmall32_1s,1s,1048,q_6_main_1_30fps_frame0030.png,q_6_main_1_30fps_frame0030,poorly,q_6
mistralsmall32_1s,1s,1048,q_7_main_1_30fps_frame0014.png,q_7_main_1_30fps_frame0014,poorly,q_7
mistralsmall32_1s,1s,1048,q_7_main_1_30fps_frame0029.png,q_7_main_1_30fps_frame0029,poorly,q_7
mistralsmall32_1s,1s,1048,q_8_main_0_30fps_frame0015.png,q_8_main_0_30fps_frame0015,poorly,q_8
mistralsmall32_1s,1s,1048,q_8_main_0_30fps_frame0030.png,q_8_main_0_30fps_frame0030,poorly,q_8
mistralsmall32_1s,1s,1048,q_9_main_0_30fps_frame0013.png,q_9_main_0_30fps_frame0013,poorly,q_9
mistralsmall32_1s,1s,1048,q_9_main_0_30fps_frame0028.png,q_9_main_0_30fps_frame0028,poorly,q_9
