participant,video_name,outcome_prediction,frame_count,frame_files,model,dataset_duration
1048,q_10,poorly,6,q_10_main_0_30fps_frame0015.png; q_10_main_0_30fps_frame0030.png; q_10_main_0_30fps_frame0045.png; q_10_main_0_30fps_frame0060.png; q_10_main_0_30fps_frame0075.png; q_10_main_0_30fps_frame0090.png,gemma3_3s,3s
1048,q_12,poorly,6,q_12_main_1_30fps_frame0015.png; q_12_main_1_30fps_frame0030.png; q_12_main_1_30fps_frame0045.png; q_12_main_1_30fps_frame0060.png; q_12_main_1_30fps_frame0075.png; q_12_main_1_30fps_frame0090.png,gemma3_3s,3s
1048,q_14,poorly,6,q_14_main_0_30fps_frame0014.png; q_14_main_0_30fps_frame0029.png; q_14_main_0_30fps_frame0044.png; q_14_main_0_30fps_frame0059.png; q_14_main_0_30fps_frame0074.png; q_14_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_15,poorly,6,q_15_main_1_30fps_frame0013.png; q_15_main_1_30fps_frame0028.png; q_15_main_1_30fps_frame0043.png; q_15_main_1_30fps_frame0058.png; q_15_main_1_30fps_frame0073.png; q_15_main_1_30fps_frame0088.png,gemma3_3s,3s
1048,q_17,poorly,6,q_17_main_1_30fps_frame0013.png; q_17_main_1_30fps_frame0028.png; q_17_main_1_30fps_frame0043.png; q_17_main_1_30fps_frame0058.png; q_17_main_1_30fps_frame0073.png; q_17_main_1_30fps_frame0088.png,gemma3_3s,3s
1048,q_2,poorly,6,q_2_main_1_30fps_frame0014.png; q_2_main_1_30fps_frame0029.png; q_2_main_1_30fps_frame0044.png; q_2_main_1_30fps_frame0059.png; q_2_main_1_30fps_frame0074.png; q_2_main_1_30fps_frame0089.png,gemma3_3s,3s
1048,q_20,poorly,6,q_20_main_0_30fps_frame0014.png; q_20_main_0_30fps_frame0029.png; q_20_main_0_30fps_frame0044.png; q_20_main_0_30fps_frame0059.png; q_20_main_0_30fps_frame0074.png; q_20_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_23,poorly,6,q_23_main_0_30fps_frame0014.png; q_23_main_0_30fps_frame0029.png; q_23_main_0_30fps_frame0044.png; q_23_main_0_30fps_frame0059.png; q_23_main_0_30fps_frame0074.png; q_23_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_24,poorly,6,q_24_main_0_30fps_frame0014.png; q_24_main_0_30fps_frame0029.png; q_24_main_0_30fps_frame0044.png; q_24_main_0_30fps_frame0059.png; q_24_main_0_30fps_frame0074.png; q_24_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_25,poorly,6,q_25_main_0_30fps_frame0014.png; q_25_main_0_30fps_frame0029.png; q_25_main_0_30fps_frame0044.png; q_25_main_0_30fps_frame0059.png; q_25_main_0_30fps_frame0074.png; q_25_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_29,poorly,6,q_29_main_0_30fps_frame0015.png; q_29_main_0_30fps_frame0030.png; q_29_main_0_30fps_frame0045.png; q_29_main_0_30fps_frame0060.png; q_29_main_0_30fps_frame0075.png; q_29_main_0_30fps_frame0090.png,gemma3_3s,3s
1048,q_30,poorly,6,q_30_main_0_30fps_frame0014.png; q_30_main_0_30fps_frame0029.png; q_30_main_0_30fps_frame0044.png; q_30_main_0_30fps_frame0059.png; q_30_main_0_30fps_frame0074.png; q_30_main_0_30fps_frame0089.png,gemma3_3s,3s
1048,q_4,poorly,6,q_4_main_1_30fps_frame0014.png; q_4_main_1_30fps_frame0029.png; q_4_main_1_30fps_frame0044.png; q_4_main_1_30fps_frame0059.png; q_4_main_1_30fps_frame0074.png; q_4_main_1_30fps_frame0089.png,gemma3_3s,3s
1048,q_6,poorly,6,q_6_main_1_30fps_frame0015.png; q_6_main_1_30fps_frame0030.png; q_6_main_1_30fps_frame0045.png; q_6_main_1_30fps_frame0060.png; q_6_main_1_30fps_frame0075.png; q_6_main_1_30fps_frame0090.png,gemma3_3s,3s
1251,q_1,poorly,6,q_1_main_0_30fps_frame0015.png; q_1_main_0_30fps_frame0030.png; q_1_main_0_30fps_frame0045.png; q_1_main_0_30fps_frame0060.png; q_1_main_0_30fps_frame0075.png; q_1_main_0_30fps_frame0090.png,gemma3_3s,3s
1251,q_10,poorly,6,q_10_main_0_30fps_frame0015.png; q_10_main_0_30fps_frame0030.png; q_10_main_0_30fps_frame0045.png; q_10_main_0_30fps_frame0060.png; q_10_main_0_30fps_frame0075.png; q_10_main_0_30fps_frame0090.png,gemma3_3s,3s
