participant,video_name,outcome_prediction,frame_count,frame_files,model,dataset_duration
1048,q_1,poorly,2,q_1_main_0_30fps_frame0014.png; q_1_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_10,poorly,2,q_10_main_0_30fps_frame0015.png; q_10_main_0_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_11,poorly,2,q_11_main_0_30fps_frame0014.png; q_11_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_12,poorly,2,q_12_main_1_30fps_frame0015.png; q_12_main_1_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_13,well,2,q_13_main_0_30fps_frame0015.png; q_13_main_0_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_14,well,2,q_14_main_0_30fps_frame0014.png; q_14_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_15,poorly,2,q_15_main_1_30fps_frame0013.png; q_15_main_1_30fps_frame0028.png,mistralsmall32_1s,1s
1048,q_16,poorly,2,q_16_main_1_30fps_frame0015.png; q_16_main_1_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_17,poorly,2,q_17_main_1_30fps_frame0013.png; q_17_main_1_30fps_frame0028.png,mistralsmall32_1s,1s
1048,q_18,poorly,2,q_18_main_0_30fps_frame0014.png; q_18_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_19,poorly,2,q_19_main_0_30fps_frame0014.png; q_19_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_2,poorly,2,q_2_main_1_30fps_frame0014.png; q_2_main_1_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_20,poorly,2,q_20_main_0_30fps_frame0014.png; q_20_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_21,poorly,2,q_21_main_1_30fps_frame0014.png; q_21_main_1_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_22,poorly,2,q_22_main_0_30fps_frame0012.png; q_22_main_0_30fps_frame0027.png,mistralsmall32_1s,1s
1048,q_23,poorly,2,q_23_main_0_30fps_frame0014.png; q_23_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_24,poorly,2,q_24_main_0_30fps_frame0014.png; q_24_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_25,poorly,2,q_25_main_0_30fps_frame0014.png; q_25_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_26,poorly,2,q_26_main_0_30fps_frame0014.png; q_26_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_27,poorly,2,q_27_main_0_30fps_frame0013.png; q_27_main_0_30fps_frame0028.png,mistralsmall32_1s,1s
1048,q_28,poorly,2,q_28_main_1_30fps_frame0015.png; q_28_main_1_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_29,poorly,2,q_29_main_0_30fps_frame0015.png; q_29_main_0_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_3,well,2,q_3_main_1_30fps_frame0014.png; q_3_main_1_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_30,poorly,2,q_30_main_0_30fps_frame0014.png; q_30_main_0_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_4,poorly,2,q_4_main_1_30fps_frame0014.png; q_4_main_1_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_5,poorly,2,q_5_main_0_30fps_frame0015.png; q_5_main_0_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_6,poorly,2,q_6_main_1_30fps_frame0015.png; q_6_main_1_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_7,poorly,2,q_7_main_1_30fps_frame0014.png; q_7_main_1_30fps_frame0029.png,mistralsmall32_1s,1s
1048,q_8,poorly,2,q_8_main_0_30fps_frame0015.png; q_8_main_0_30fps_frame0030.png,mistralsmall32_1s,1s
1048,q_9,poorly,2,q_9_main_0_30fps_frame0013.png; q_9_main_0_30fps_frame0028.png,mistralsmall32_1s,1s
