participant,frame_file,frame_name,outcome_prediction
1048,q_10_main_0_30fps_frame0015.png,q_10_main_0_30fps_frame0015,Poorly
1048,q_10_main_0_30fps_frame0030.png,q_10_main_0_30fps_frame0030,Poorly
1048,q_10_main_0_30fps_frame0045.png,q_10_main_0_30fps_frame0045,Poorly
1048,q_10_main_0_30fps_frame0060.png,q_10_main_0_30fps_frame0060,Poorly
1048,q_10_main_0_30fps_frame0075.png,q_10_main_0_30fps_frame0075,Poorly
1048,q_10_main_0_30fps_frame0090.png,q_10_main_0_30fps_frame0090,Poorly
1048,q_12_main_1_30fps_frame0015.png,q_12_main_1_30fps_frame0015,Well
1048,q_12_main_1_30fps_frame0030.png,q_12_main_1_30fps_frame0030,Well
1048,q_12_main_1_30fps_frame0045.png,q_12_main_1_30fps_frame0045,Well
1048,q_12_main_1_30fps_frame0060.png,q_12_main_1_30fps_frame0060,Well
1048,q_12_main_1_30fps_frame0075.png,q_12_main_1_30fps_frame0075,Poorly
1048,q_12_main_1_30fps_frame0090.png,q_12_main_1_30fps_frame0090,Poorly
1048,q_14_main_0_30fps_frame0014.png,q_14_main_0_30fps_frame0014,Poorly
1048,q_14_main_0_30fps_frame0029.png,q_14_main_0_30fps_frame0029,poorly
1048,q_14_main_0_30fps_frame0044.png,q_14_main_0_30fps_frame0044,poorly
1048,q_14_main_0_30fps_frame0059.png,q_14_main_0_30fps_frame0059,Poorly
1048,q_14_main_0_30fps_frame0074.png,q_14_main_0_30fps_frame0074,Poorly
1048,q_14_main_0_30fps_frame0089.png,q_14_main_0_30fps_frame0089,Poorly
1048,q_15_main_1_30fps_frame0013.png,q_15_main_1_30fps_frame0013,Poorly
1048,q_15_main_1_30fps_frame0028.png,q_15_main_1_30fps_frame0028,Well
1048,q_15_main_1_30fps_frame0043.png,q_15_main_1_30fps_frame0043,Well
1048,q_15_main_1_30fps_frame0058.png,q_15_main_1_30fps_frame0058,Poorly
1048,q_15_main_1_30fps_frame0073.png,q_15_main_1_30fps_frame0073,Well
1048,q_15_main_1_30fps_frame0088.png,q_15_main_1_30fps_frame0088,Well
1048,q_17_main_1_30fps_frame0013.png,q_17_main_1_30fps_frame0013,Poorly
1048,q_17_main_1_30fps_frame0028.png,q_17_main_1_30fps_frame0028,Poorly
1048,q_17_main_1_30fps_frame0043.png,q_17_main_1_30fps_frame0043,Poorly
1048,q_17_main_1_30fps_frame0058.png,q_17_main_1_30fps_frame0058,Poorly
1048,q_17_main_1_30fps_frame0073.png,q_17_main_1_30fps_frame0073,Poorly
1048,q_17_main_1_30fps_frame0088.png,q_17_main_1_30fps_frame0088,poorly
1048,q_20_main_0_30fps_frame0014.png,q_20_main_0_30fps_frame0014,Poorly
1048,q_20_main_0_30fps_frame0029.png,q_20_main_0_30fps_frame0029,Poorly
1048,q_20_main_0_30fps_frame0044.png,q_20_main_0_30fps_frame0044,Well
1048,q_20_main_0_30fps_frame0059.png,q_20_main_0_30fps_frame0059,Poorly
1048,q_20_main_0_30fps_frame0074.png,q_20_main_0_30fps_frame0074,Poorly
1048,q_20_main_0_30fps_frame0089.png,q_20_main_0_30fps_frame0089,Poorly
1048,q_23_main_0_30fps_frame0014.png,q_23_main_0_30fps_frame0014,Poorly
1048,q_23_main_0_30fps_frame0029.png,q_23_main_0_30fps_frame0029,Poorly
1048,q_23_main_0_30fps_frame0044.png,q_23_main_0_30fps_frame0044,Poorly
1048,q_23_main_0_30fps_frame0059.png,q_23_main_0_30fps_frame0059,Poorly
1048,q_23_main_0_30fps_frame0074.png,q_23_main_0_30fps_frame0074,Poorly
1048,q_23_main_0_30fps_frame0089.png,q_23_main_0_30fps_frame0089,Poorly
1048,q_24_main_0_30fps_frame0014.png,q_24_main_0_30fps_frame0014,Poorly
1048,q_24_main_0_30fps_frame0029.png,q_24_main_0_30fps_frame0029,Poorly
1048,q_24_main_0_30fps_frame0044.png,q_24_main_0_30fps_frame0044,Well
1048,q_24_main_0_30fps_frame0059.png,q_24_main_0_30fps_frame0059,Poorly
1048,q_24_main_0_30fps_frame0074.png,q_24_main_0_30fps_frame0074,Poorly
1048,q_24_main_0_30fps_frame0089.png,q_24_main_0_30fps_frame0089,Poorly
1048,q_25_main_0_30fps_frame0014.png,q_25_main_0_30fps_frame0014,Well
1048,q_25_main_0_30fps_frame0029.png,q_25_main_0_30fps_frame0029,Poorly
1048,q_25_main_0_30fps_frame0044.png,q_25_main_0_30fps_frame0044,Poorly
1048,q_25_main_0_30fps_frame0059.png,q_25_main_0_30fps_frame0059,Poorly
1048,q_25_main_0_30fps_frame0074.png,q_25_main_0_30fps_frame0074,Poorly
1048,q_25_main_0_30fps_frame0089.png,q_25_main_0_30fps_frame0089,Poorly
1048,q_29_main_0_30fps_frame0015.png,q_29_main_0_30fps_frame0015,Poorly
1048,q_29_main_0_30fps_frame0030.png,q_29_main_0_30fps_frame0030,Poorly
1048,q_29_main_0_30fps_frame0045.png,q_29_main_0_30fps_frame0045,Poorly
1048,q_29_main_0_30fps_frame0060.png,q_29_main_0_30fps_frame0060,Poorly
1048,q_29_main_0_30fps_frame0075.png,q_29_main_0_30fps_frame0075,Poorly
1048,q_29_main_0_30fps_frame0090.png,q_29_main_0_30fps_frame0090,Poorly
1048,q_2_main_1_30fps_frame0014.png,q_2_main_1_30fps_frame0014,Poorly
1048,q_2_main_1_30fps_frame0029.png,q_2_main_1_30fps_frame0029,Poorly
1048,q_2_main_1_30fps_frame0044.png,q_2_main_1_30fps_frame0044,Poorly
1048,q_2_main_1_30fps_frame0059.png,q_2_main_1_30fps_frame0059,Poorly
1048,q_2_main_1_30fps_frame0074.png,q_2_main_1_30fps_frame0074,Poorly
1048,q_2_main_1_30fps_frame0089.png,q_2_main_1_30fps_frame0089,Poorly
1048,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,Poorly
1048,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,Poorly
1048,q_30_main_0_30fps_frame0044.png,q_30_main_0_30fps_frame0044,Poorly
1048,q_30_main_0_30fps_frame0059.png,q_30_main_0_30fps_frame0059,Poorly
1048,q_30_main_0_30fps_frame0074.png,q_30_main_0_30fps_frame0074,Well
1048,q_30_main_0_30fps_frame0089.png,q_30_main_0_30fps_frame0089,Poorly
1048,q_4_main_1_30fps_frame0014.png,q_4_main_1_30fps_frame0014,Poorly
1048,q_4_main_1_30fps_frame0029.png,q_4_main_1_30fps_frame0029,Poorly
1048,q_4_main_1_30fps_frame0044.png,q_4_main_1_30fps_frame0044,Poorly
1048,q_4_main_1_30fps_frame0059.png,q_4_main_1_30fps_frame0059,Poorly
1048,q_4_main_1_30fps_frame0074.png,q_4_main_1_30fps_frame0074,Poorly
1048,q_4_main_1_30fps_frame0089.png,q_4_main_1_30fps_frame0089,Poorly
1048,q_6_main_1_30fps_frame0015.png,q_6_main_1_30fps_frame0015,Poorly
1048,q_6_main_1_30fps_frame0030.png,q_6_main_1_30fps_frame0030,Poorly
1048,q_6_main_1_30fps_frame0045.png,q_6_main_1_30fps_frame0045,Poorly
1048,q_6_main_1_30fps_frame0060.png,q_6_main_1_30fps_frame0060,Poorly
1048,q_6_main_1_30fps_frame0075.png,q_6_main_1_30fps_frame0075,Well
1048,q_6_main_1_30fps_frame0090.png,q_6_main_1_30fps_frame0090,Poorly
1048,q_warmup_3_main_1_30fps_frame0013.png,q_warmup_3_main_1_30fps_frame0013,Poorly
1048,q_warmup_3_main_1_30fps_frame0028.png,q_warmup_3_main_1_30fps_frame0028,Poorly
1048,q_warmup_3_main_1_30fps_frame0043.png,q_warmup_3_main_1_30fps_frame0043,Poorly
1048,q_warmup_3_main_1_30fps_frame0058.png,q_warmup_3_main_1_30fps_frame0058,Poorly
1048,q_warmup_3_main_1_30fps_frame0073.png,q_warmup_3_main_1_30fps_frame0073,poorly
1048,q_warmup_3_main_1_30fps_frame0088.png,q_warmup_3_main_1_30fps_frame0088,Poorly
1048,q_warmup_5_main_0_30fps_frame0015.png,q_warmup_5_main_0_30fps_frame0015,Poorly
1048,q_warmup_5_main_0_30fps_frame0030.png,q_warmup_5_main_0_30fps_frame0030,Well
1048,q_warmup_5_main_0_30fps_frame0045.png,q_warmup_5_main_0_30fps_frame0045,Poorly
1048,q_warmup_5_main_0_30fps_frame0060.png,q_warmup_5_main_0_30fps_frame0060,Poorly
1048,q_warmup_5_main_0_30fps_frame0075.png,q_warmup_5_main_0_30fps_frame0075,Poorly
1048,q_warmup_5_main_0_30fps_frame0090.png,q_warmup_5_main_0_30fps_frame0090,Well
1251,q_10_main_0_30fps_frame0015.png,q_10_main_0_30fps_frame0015,Poorly
1251,q_10_main_0_30fps_frame0030.png,q_10_main_0_30fps_frame0030,Poorly
1251,q_10_main_0_30fps_frame0045.png,q_10_main_0_30fps_frame0045,Poorly
1251,q_10_main_0_30fps_frame0060.png,q_10_main_0_30fps_frame0060,Poorly
1251,q_10_main_0_30fps_frame0075.png,q_10_main_0_30fps_frame0075,Poorly
1251,q_10_main_0_30fps_frame0090.png,q_10_main_0_30fps_frame0090,Poorly
1251,q_11_main_1_30fps_frame0014.png,q_11_main_1_30fps_frame0014,Well
1251,q_11_main_1_30fps_frame0029.png,q_11_main_1_30fps_frame0029,Poorly
1251,q_11_main_1_30fps_frame0044.png,q_11_main_1_30fps_frame0044,Poorly
1251,q_11_main_1_30fps_frame0059.png,q_11_main_1_30fps_frame0059,Poorly
1251,q_11_main_1_30fps_frame0074.png,q_11_main_1_30fps_frame0074,Poorly
1251,q_11_main_1_30fps_frame0089.png,q_11_main_1_30fps_frame0089,Poorly
1251,q_12_main_1_30fps_frame0015.png,q_12_main_1_30fps_frame0015,Poorly
1251,q_12_main_1_30fps_frame0030.png,q_12_main_1_30fps_frame0030,Well
1251,q_12_main_1_30fps_frame0045.png,q_12_main_1_30fps_frame0045,Poorly
1251,q_12_main_1_30fps_frame0060.png,q_12_main_1_30fps_frame0060,Poorly
1251,q_12_main_1_30fps_frame0075.png,q_12_main_1_30fps_frame0075,Poorly
1251,q_12_main_1_30fps_frame0090.png,q_12_main_1_30fps_frame0090,Poorly
1251,q_1_main_0_30fps_frame0015.png,q_1_main_0_30fps_frame0015,Poorly
1251,q_1_main_0_30fps_frame0030.png,q_1_main_0_30fps_frame0030,Poorly
1251,q_1_main_0_30fps_frame0045.png,q_1_main_0_30fps_frame0045,Poorly
1251,q_1_main_0_30fps_frame0060.png,q_1_main_0_30fps_frame0060,Poorly
1251,q_1_main_0_30fps_frame0075.png,q_1_main_0_30fps_frame0075,Poorly
1251,q_1_main_0_30fps_frame0090.png,q_1_main_0_30fps_frame0090,poorly
1251,q_21_main_0_30fps_frame0015.png,q_21_main_0_30fps_frame0015,Poorly
1251,q_21_main_0_30fps_frame0030.png,q_21_main_0_30fps_frame0030,Poorly
1251,q_21_main_0_30fps_frame0045.png,q_21_main_0_30fps_frame0045,Well
1251,q_21_main_0_30fps_frame0060.png,q_21_main_0_30fps_frame0060,Poorly
1251,q_21_main_0_30fps_frame0075.png,q_21_main_0_30fps_frame0075,Well
1251,q_21_main_0_30fps_frame0090.png,q_21_main_0_30fps_frame0090,Poorly
1251,q_22_main_0_30fps_frame0015.png,q_22_main_0_30fps_frame0015,Poorly
1251,q_22_main_0_30fps_frame0030.png,q_22_main_0_30fps_frame0030,Poorly
1251,q_22_main_0_30fps_frame0045.png,q_22_main_0_30fps_frame0045,Poorly
1251,q_22_main_0_30fps_frame0060.png,q_22_main_0_30fps_frame0060,Poorly
1251,q_22_main_0_30fps_frame0075.png,q_22_main_0_30fps_frame0075,Poorly
1251,q_22_main_0_30fps_frame0090.png,q_22_main_0_30fps_frame0090,Poorly
1251,q_26_main_1_30fps_frame0014.png,q_26_main_1_30fps_frame0014,Well
1251,q_26_main_1_30fps_frame0029.png,q_26_main_1_30fps_frame0029,Poorly
1251,q_26_main_1_30fps_frame0044.png,q_26_main_1_30fps_frame0044,Poorly
1251,q_26_main_1_30fps_frame0059.png,q_26_main_1_30fps_frame0059,Poorly
1251,q_26_main_1_30fps_frame0074.png,q_26_main_1_30fps_frame0074,Poorly
1251,q_26_main_1_30fps_frame0089.png,q_26_main_1_30fps_frame0089,Poorly
1251,q_29_main_0_30fps_frame0014.png,q_29_main_0_30fps_frame0014,Poorly
1251,q_29_main_0_30fps_frame0029.png,q_29_main_0_30fps_frame0029,Poorly
1251,q_29_main_0_30fps_frame0044.png,q_29_main_0_30fps_frame0044,Poorly
1251,q_29_main_0_30fps_frame0059.png,q_29_main_0_30fps_frame0059,Well
1251,q_29_main_0_30fps_frame0074.png,q_29_main_0_30fps_frame0074,Poorly
1251,q_29_main_0_30fps_frame0089.png,q_29_main_0_30fps_frame0089,Poorly
1251,q_2_main_1_30fps_frame0015.png,q_2_main_1_30fps_frame0015,Poorly
1251,q_2_main_1_30fps_frame0030.png,q_2_main_1_30fps_frame0030,Poorly
1251,q_2_main_1_30fps_frame0045.png,q_2_main_1_30fps_frame0045,Poorly
1251,q_2_main_1_30fps_frame0060.png,q_2_main_1_30fps_frame0060,Poorly
1251,q_2_main_1_30fps_frame0075.png,q_2_main_1_30fps_frame0075,Poorly
1251,q_2_main_1_30fps_frame0090.png,q_2_main_1_30fps_frame0090,Poorly
1251,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,Poorly
1251,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,Poorly
1251,q_30_main_0_30fps_frame0044.png,q_30_main_0_30fps_frame0044,Poorly
1251,q_30_main_0_30fps_frame0059.png,q_30_main_0_30fps_frame0059,Poorly
1251,q_30_main_0_30fps_frame0074.png,q_30_main_0_30fps_frame0074,Poorly
1251,q_30_main_0_30fps_frame0089.png,q_30_main_0_30fps_frame0089,Poorly
1251,q_3_main_0_30fps_frame0014.png,q_3_main_0_30fps_frame0014,Well
1251,q_3_main_0_30fps_frame0029.png,q_3_main_0_30fps_frame0029,Well
1251,q_3_main_0_30fps_frame0044.png,q_3_main_0_30fps_frame0044,Well
1251,q_3_main_0_30fps_frame0059.png,q_3_main_0_30fps_frame0059,Poorly
1251,q_3_main_0_30fps_frame0074.png,q_3_main_0_30fps_frame0074,Poorly
1251,q_3_main_0_30fps_frame0089.png,q_3_main_0_30fps_frame0089,Well
1251,q_5_main_0_30fps_frame0014.png,q_5_main_0_30fps_frame0014,poorly
1251,q_5_main_0_30fps_frame0029.png,q_5_main_0_30fps_frame0029,Poorly
1251,q_5_main_0_30fps_frame0044.png,q_5_main_0_30fps_frame0044,Poorly
1251,q_5_main_0_30fps_frame0059.png,q_5_main_0_30fps_frame0059,Poorly
1251,q_5_main_0_30fps_frame0074.png,q_5_main_0_30fps_frame0074,Poorly
1251,q_5_main_0_30fps_frame0089.png,q_5_main_0_30fps_frame0089,Poorly
1251,q_6_main_1_30fps_frame0014.png,q_6_main_1_30fps_frame0014,Poorly
