video_name,participant,frame,outcome_prediction
q_10_main_0.mp4,1048,0,Poorly
q_10_main_0.mp4,1048,15,Poorly
q_10_main_0.mp4,1048,30,Poorly
q_10_main_0.mp4,1048,45,Poorly
q_10_main_0.mp4,1048,60,Poorly
q_10_main_0.mp4,1048,75,Unknown
q_10_main_0.mp4,1048,90,Poorly
q_10_main_0.mp4,1048,105,Unknown
q_10_main_0.mp4,1048,120,Unknown
q_10_main_0.mp4,1048,135,Unknown
q_11_main_0.mp4,1048,0,Unknown
q_11_main_0.mp4,1048,15,Poorly
q_11_main_0.mp4,1048,30,Unknown
q_11_main_0.mp4,1048,45,Poorly
q_11_main_0.mp4,1048,60,Poorly
q_11_main_0.mp4,1048,75,Unknown
q_11_main_0.mp4,1048,90,Poorly
q_11_main_0.mp4,1048,105,Poorly
q_11_main_0.mp4,1048,120,Well
q_11_main_0.mp4,1048,135,Poorly
q_12_main_1.mp4,1048,0,Well
q_12_main_1.mp4,1048,15,Well
q_12_main_1.mp4,1048,30,Well
q_12_main_1.mp4,1048,45,Well.
q_12_main_1.mp4,1048,60,Well
q_12_main_1.mp4,1048,75,Well
q_12_main_1.mp4,1048,90,Well
q_12_main_1.mp4,1048,105,Well
q_12_main_1.mp4,1048,120,Well
q_12_main_1.mp4,1048,135,Well
q_13_main_0.mp4,1048,0,Poorly
q_13_main_0.mp4,1048,15,Poorly
q_13_main_0.mp4,1048,30,Poorly
q_13_main_0.mp4,1048,45,Poorly
q_13_main_0.mp4,1048,60,Poorly
q_13_main_0.mp4,1048,75,Poorly
q_13_main_0.mp4,1048,90,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=600)"
q_13_main_0.mp4,1048,105,Well
q_13_main_0.mp4,1048,120,Well
q_13_main_0.mp4,1048,135,Well
q_14_main_0.mp4,1048,0,Unknown
q_14_main_0.mp4,1048,15,Poorly
q_14_main_0.mp4,1048,30,Poorly
q_14_main_0.mp4,1048,45,Poorly
q_14_main_0.mp4,1048,60,Unknown
q_14_main_0.mp4,1048,75,Poorly
q_14_main_0.mp4,1048,90,Poorly
q_14_main_0.mp4,1048,105,Poorly
q_14_main_0.mp4,1048,120,Well
q_14_main_0.mp4,1048,135,Poorly
q_15_main_1.mp4,1048,0,Unanswerable
q_15_main_1.mp4,1048,15,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=600)"
q_15_main_1.mp4,1048,30,Poorly
q_15_main_1.mp4,1048,45,Well
q_15_main_1.mp4,1048,60,Poorly
q_15_main_1.mp4,1048,75,Poorly
q_15_main_1.mp4,1048,90,Well
q_15_main_1.mp4,1048,105,Well
q_15_main_1.mp4,1048,120,Well
q_15_main_1.mp4,1048,135,Well.
q_16_main_1.mp4,1048,0,Unknown
q_16_main_1.mp4,1048,15,Unknown
q_16_main_1.mp4,1048,30,Poorly
q_16_main_1.mp4,1048,45,Poorly
q_16_main_1.mp4,1048,60,Unknown
q_16_main_1.mp4,1048,75,Poorly
q_16_main_1.mp4,1048,90,Poorly
q_16_main_1.mp4,1048,105,Poorly
q_16_main_1.mp4,1048,120,Poorly
q_16_main_1.mp4,1048,135,Unknown
q_17_main_1.mp4,1048,0,Unknown
q_17_main_1.mp4,1048,15,Unknown
q_17_main_1.mp4,1048,30,Poorly
q_17_main_1.mp4,1048,45,Poorly
q_17_main_1.mp4,1048,60,Poorly
q_17_main_1.mp4,1048,75,Poorly
q_17_main_1.mp4,1048,90,Poorly
q_17_main_1.mp4,1048,105,Poorly
q_17_main_1.mp4,1048,120,Unknown
q_17_main_1.mp4,1048,135,Poorly
q_18_main_0.mp4,1048,0,Unknown
q_18_main_0.mp4,1048,15,Unknown
q_18_main_0.mp4,1048,30,Unknown
q_18_main_0.mp4,1048,45,Unknown
q_18_main_0.mp4,1048,60,Unknown
q_18_main_0.mp4,1048,75,Poorly
q_18_main_0.mp4,1048,90,Poorly
q_18_main_0.mp4,1048,105,Unknown
q_18_main_0.mp4,1048,120,Unknown
q_18_main_0.mp4,1048,135,Unknown
q_19_main_0.mp4,1048,0,Poorly
q_19_main_0.mp4,1048,15,Unknown
q_19_main_0.mp4,1048,30,Poorly
q_19_main_0.mp4,1048,45,Poorly
q_19_main_0.mp4,1048,60,Unknown
q_19_main_0.mp4,1048,75,Poorly
q_19_main_0.mp4,1048,90,Poorly
q_19_main_0.mp4,1048,105,Unknown
q_19_main_0.mp4,1048,120,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=600)"
q_19_main_0.mp4,1048,135,Poorly
q_1_main_0.mp4,1048,0,Unknown
q_1_main_0.mp4,1048,15,Unknown
q_1_main_0.mp4,1048,30,Unsure
q_1_main_0.mp4,1048,45,Poorly
q_1_main_0.mp4,1048,60,Unknown
q_1_main_0.mp4,1048,75,Poorly
q_1_main_0.mp4,1048,90,Poorly
q_1_main_0.mp4,1048,105,Poorly
q_1_main_0.mp4,1048,120,Unknown
q_1_main_0.mp4,1048,135,Poorly
q_20_main_0.mp4,1048,0,Poorly
q_20_main_0.mp4,1048,15,Poorly
q_20_main_0.mp4,1048,30,Unknown
q_20_main_0.mp4,1048,45,Poorly
q_20_main_0.mp4,1048,60,Poorly
q_20_main_0.mp4,1048,75,Poorly
q_20_main_0.mp4,1048,90,Poorly
q_20_main_0.mp4,1048,105,Well
q_20_main_0.mp4,1048,120,Well
q_20_main_0.mp4,1048,135,Well
q_21_main_1.mp4,1048,0,Poorly
q_21_main_1.mp4,1048,15,Poorly
q_21_main_1.mp4,1048,30,Poorly
q_21_main_1.mp4,1048,45,Poorly
q_21_main_1.mp4,1048,60,Unknown
q_21_main_1.mp4,1048,75,Poorly
q_21_main_1.mp4,1048,90,Unknown
q_21_main_1.mp4,1048,105,Poorly
q_21_main_1.mp4,1048,120,Poorly
q_21_main_1.mp4,1048,135,Unknown
q_22_main_0.mp4,1048,0,Unknown
q_22_main_0.mp4,1048,15,Poorly
q_22_main_0.mp4,1048,30,Poorly
q_22_main_0.mp4,1048,45,Unknown
q_22_main_0.mp4,1048,60,Unknown
q_22_main_0.mp4,1048,75,Poorly
q_22_main_0.mp4,1048,90,Poorly
q_22_main_0.mp4,1048,105,Poorly
q_22_main_0.mp4,1048,120,Poorly
q_22_main_0.mp4,1048,135,Poorly
q_23_main_0.mp4,1048,0,Poorly
q_23_main_0.mp4,1048,15,Unknown
q_23_main_0.mp4,1048,30,Poorly
q_23_main_0.mp4,1048,45,Unknown
q_23_main_0.mp4,1048,60,Unknown
q_23_main_0.mp4,1048,75,Unknown
q_23_main_0.mp4,1048,90,Unknown
q_23_main_0.mp4,1048,105,Unknown
q_23_main_0.mp4,1048,120,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=600)"
q_23_main_0.mp4,1048,135,Unknown
q_24_main_0.mp4,1048,0,Poorly
q_24_main_0.mp4,1048,15,Poorly
q_24_main_0.mp4,1048,30,Poorly
q_24_main_0.mp4,1048,45,Poorly
q_24_main_0.mp4,1048,60,Poorly
q_24_main_0.mp4,1048,75,Poorly
q_24_main_0.mp4,1048,90,Poorly
q_24_main_0.mp4,1048,105,Unknown
q_24_main_0.mp4,1048,120,Poorly
q_24_main_0.mp4,1048,135,Poorly
q_25_main_0.mp4,1048,0,Poorly
q_25_main_0.mp4,1048,15,Poorly
q_25_main_0.mp4,1048,30,Poorly
q_25_main_0.mp4,1048,45,Poorly
q_25_main_0.mp4,1048,60,Poorly
