video_name,frame,outcome_prediction
11_final.mp4,0,Poorly.
11_final.mp4,15,Poorly.
11_final.mp4,30,Poorly.
11_final.mp4,45,Poorly.
11_final.mp4,60,Poorly.
11_final.mp4,75,Poorly.
11_final.mp4,90,poorly.
11_final.mp4,105,Poorly.
11_final.mp4,120,Poorly.
11_final.mp4,135,Poorly.
11_final.mp4,150,Poorly.
11_final.mp4,165,Poorly.
11_final.mp4,180,Poorly.
11_final.mp4,195,Poorly.
11_final.mp4,210,Poorly.
11_final.mp4,225,Poorly.
11_final.mp4,240,poorly.
11_final.mp4,255,Poorly.
11_final.mp4,270,Poorly.
11_final.mp4,285,Poorly.
11_final.mp4,300,Poorly.
11_final.mp4,315,Poorly.
11_final.mp4,330,Poorly.
11_final.mp4,345,Poorly.
11_final.mp4,360,Poorly.
11_final.mp4,375,Poorly.
11_final.mp4,390,poorly.
11_final.mp4,405,Poorly.
11_final.mp4,420,Poorly.
12_final.mp4,0,Poorly.
12_final.mp4,15,Poorly.
12_final.mp4,30,Poorly.
12_final.mp4,45,Poorly.
12_final.mp4,60,Poorly.
12_final.mp4,75,Poorly.
12_final.mp4,90,Poorly.
12_final.mp4,105,Poorly.
12_final.mp4,120,Poorly.
12_final.mp4,135,Poorly.
12_final.mp4,150,Poorly.
12_final.mp4,165,Poorly.
12_final.mp4,180,Poorly.
12_final.mp4,195,Poorly.
12_final.mp4,210,Poorly.
14_final.mp4,0,Poorly.
14_final.mp4,15,poorly.
14_final.mp4,30,poorly.
14_final.mp4,45,Poorly.
14_final.mp4,60,Poorly.
14_final.mp4,75,poorly.
14_final.mp4,90,poorly.
14_final.mp4,105,poorly.
14_final.mp4,120,poorly.
14_final.mp4,135,Poorly.
14_final.mp4,150,Poorly.
14_final.mp4,165,Poorly.
14_final.mp4,180,Poorly.
14_final.mp4,195,Poorly.
14_final.mp4,210,poorly.
14_final.mp4,225,Poorly.
14_final.mp4,240,Poorly.
14_final.mp4,255,Poorly.
14_final.mp4,270,Poorly.
14_final.mp4,285,Poorly.
14_final.mp4,300,poorly.
14_final.mp4,315,poorly.
14_final.mp4,330,Poorly.
14_final.mp4,345,poorly.
14_final.mp4,360,Poorly.
14_final.mp4,375,Poorly.
15_final.mp4,0,Poorly.
15_final.mp4,15,Poorly.
15_final.mp4,30,Poorly.
15_final.mp4,45,Poorly.
15_final.mp4,60,Poorly.
15_final.mp4,75,Poorly.
15_final.mp4,90,Poorly.
15_final.mp4,105,Poorly.
15_final.mp4,120,Poorly.
15_final.mp4,135,Poorly.
15_final.mp4,150,Poorly.
15_final.mp4,165,Poorly.
15_final.mp4,180,Poorly.
15_final.mp4,195,Poorly.
15_final.mp4,210,Poorly.
19_final.mp4,0,Poorly.
19_final.mp4,15,Poorly.
19_final.mp4,30,Poorly.
19_final.mp4,45,Poorly.
19_final.mp4,60,Poorly.
19_final.mp4,75,Poorly.
19_final.mp4,90,Poorly.
19_final.mp4,105,Poorly.
19_final.mp4,120,Poorly.
19_final.mp4,135,Poorly.
19_final.mp4,150,Poorly.
19_final.mp4,165,Poorly.
19_final.mp4,180,Poorly.
19_final.mp4,195,Poorly.
19_final.mp4,210,Poorly.
19_final.mp4,225,Poorly.
19_final.mp4,240,Poorly.
19_final.mp4,255,Poorly.
21_final.mp4,0,Poorly.
21_final.mp4,15,Poorly.
21_final.mp4,30,Poorly.
21_final.mp4,45,Poorly.
21_final.mp4,60,Poorly.
21_final.mp4,75,Poorly.
21_final.mp4,90,Poorly.
21_final.mp4,105,poorly.
21_final.mp4,120,Poorly.
21_final.mp4,135,poorly.
21_final.mp4,150,Poorly.
21_final.mp4,165,poorly.
21_final.mp4,180,Poorly.
21_final.mp4,195,poorly.
21_final.mp4,210,Poorly.
21_final.mp4,225,Poorly.
21_final.mp4,240,Poorly.
21_final.mp4,255,poorly.
21_final.mp4,270,Poorly.
21_final.mp4,285,Poorly.
21_final.mp4,300,poorly.
21_final.mp4,315,Poorly.
22_final.mp4,0,Poorly.
22_final.mp4,15,Poorly.
22_final.mp4,30,Poorly.
22_final.mp4,45,Poorly.
22_final.mp4,60,Poorly.
22_final.mp4,75,Poorly.
