video_name,frame,outcome_prediction
11_final.mp4,0,poorly
11_final.mp4,15,poorly
11_final.mp4,30,poorly
11_final.mp4,45,poorly
11_final.mp4,60,poorly
11_final.mp4,75,poorly
11_final.mp4,90,poorly
11_final.mp4,105,poorly
11_final.mp4,120,well
11_final.mp4,135,poorly
11_final.mp4,150,poorly
11_final.mp4,165,poorly
11_final.mp4,180,poorly
11_final.mp4,195,poorly
11_final.mp4,210,poorly
11_final.mp4,225,poorly
11_final.mp4,240,poorly
11_final.mp4,255,poorly
11_final.mp4,270,poorly
11_final.mp4,285,poorly
11_final.mp4,300,poorly
11_final.mp4,315,poorly
11_final.mp4,330,poorly
11_final.mp4,345,poorly
11_final.mp4,360,poorly
11_final.mp4,375,poorly
11_final.mp4,390,poorly
11_final.mp4,405,poorly
11_final.mp4,420,poorly
