video_name,frame,outcome_prediction
11_final.mp4,0,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e7fc10>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,3,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea57f0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,6,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfd220>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,9,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfdc10>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,12,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfdaf0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,15,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea5d60>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,18,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea5700>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,21,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e06640>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,24,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e12070>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,27,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea54f0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,30,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea5c40>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,33,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e06940>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,36,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfd850>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,39,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfd6a0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,42,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e12a60>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,45,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439dfd460>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,48,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439e066d0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,51,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea5d90>: Failed to establish a new connection: [Errno 111] Connection refused'))"
11_final.mp4,54,"Error analyzing image: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7439ea5640>: Failed to establish a new connection: [Errno 111] Connection refused'))"
