video_name,frame,outcome_prediction
11_final.mp4,0,Well
11_final.mp4,15,Well
11_final.mp4,30,Poorly
11_final.mp4,45,Poorly
11_final.mp4,60,Poorly
11_final.mp4,75,Well
11_final.mp4,90,Well
11_final.mp4,105,Well
11_final.mp4,120,Well
11_final.mp4,135,Well
11_final.mp4,150,Well
11_final.mp4,165,Well
11_final.mp4,180,Poorly
11_final.mp4,195,Well
11_final.mp4,210,Well
11_final.mp4,225,Well
11_final.mp4,240,Well
11_final.mp4,255,Well
11_final.mp4,270,Poorly
11_final.mp4,285,Well
11_final.mp4,300,Well
11_final.mp4,315,Well
11_final.mp4,330,Well
11_final.mp4,345,Well
11_final.mp4,360,Well
11_final.mp4,375,Well
11_final.mp4,390,Well
11_final.mp4,405,Well
11_final.mp4,420,Poorly
12_final.mp4,0,Well
12_final.mp4,15,Well
12_final.mp4,30,Well
12_final.mp4,45,Poorly
12_final.mp4,60,Poorly
12_final.mp4,75,Poorly
12_final.mp4,90,Well
12_final.mp4,105,Poorly
12_final.mp4,120,Well
12_final.mp4,135,Well
12_final.mp4,150,Well
12_final.mp4,165,Poorly
12_final.mp4,180,Well
12_final.mp4,195,Poorly
12_final.mp4,210,Poorly
14_final.mp4,0,Well
14_final.mp4,15,Well
14_final.mp4,30,Well
14_final.mp4,45,Well
14_final.mp4,60,Well
14_final.mp4,75,Well
14_final.mp4,90,Well
14_final.mp4,105,Poorly
14_final.mp4,120,Well
14_final.mp4,135,Well
14_final.mp4,150,Well
14_final.mp4,165,Well
14_final.mp4,180,Poorly
14_final.mp4,195,Well
14_final.mp4,210,Well
14_final.mp4,225,Well
14_final.mp4,240,Well
14_final.mp4,255,Well
14_final.mp4,270,Poorly
14_final.mp4,285,Poorly
14_final.mp4,300,Well
14_final.mp4,315,Well
14_final.mp4,330,Well
14_final.mp4,345,Poorly
14_final.mp4,360,Well
14_final.mp4,375,Well
15_final.mp4,0,Well
15_final.mp4,15,Well
15_final.mp4,30,Well
15_final.mp4,45,Well
15_final.mp4,60,Well
15_final.mp4,75,Well
15_final.mp4,90,Well
15_final.mp4,105,Well
15_final.mp4,120,Well
15_final.mp4,135,Well
15_final.mp4,150,Well
15_final.mp4,165,Well
15_final.mp4,180,Well
15_final.mp4,195,Well
15_final.mp4,210,Well
19_final.mp4,0,Well
19_final.mp4,15,Well
19_final.mp4,30,Well
19_final.mp4,45,Well
19_final.mp4,60,Well
19_final.mp4,75,Well
19_final.mp4,90,Well
19_final.mp4,105,Well
19_final.mp4,120,Well
19_final.mp4,135,Well
19_final.mp4,150,Poorly
19_final.mp4,165,Well
19_final.mp4,180,Well
19_final.mp4,195,Well
19_final.mp4,210,Well
19_final.mp4,225,Well
19_final.mp4,240,Well
19_final.mp4,255,Well
21_final.mp4,0,Well
21_final.mp4,15,Well
21_final.mp4,30,Well
21_final.mp4,45,Well
21_final.mp4,60,Well
21_final.mp4,75,Well
21_final.mp4,90,Well
21_final.mp4,105,Well
21_final.mp4,120,Well
21_final.mp4,135,Well
21_final.mp4,150,Well
21_final.mp4,165,Well
21_final.mp4,180,Poorly
21_final.mp4,195,Well
21_final.mp4,210,Well
21_final.mp4,225,Well
