video_name,frame,outcome_prediction
11_final.mp4,0,well
11_final.mp4,15,well
11_final.mp4,30,well
11_final.mp4,45,well
11_final.mp4,60,well
11_final.mp4,75,well
11_final.mp4,90,well
11_final.mp4,105,well
11_final.mp4,120,well
11_final.mp4,135,well
11_final.mp4,150,well
11_final.mp4,165,well
11_final.mp4,180,poorly
11_final.mp4,195,well
11_final.mp4,210,well
11_final.mp4,225,well
11_final.mp4,240,well
11_final.mp4,255,well
11_final.mp4,270,well
11_final.mp4,285,well
11_final.mp4,300,well
11_final.mp4,315,well
11_final.mp4,330,well
11_final.mp4,345,well
11_final.mp4,360,well
11_final.mp4,375,well
11_final.mp4,390,well
11_final.mp4,405,well
11_final.mp4,420,well
12_final.mp4,0,well
12_final.mp4,15,well
12_final.mp4,30,well
12_final.mp4,45,well
12_final.mp4,60,well
12_final.mp4,75,well
12_final.mp4,90,well
12_final.mp4,105,well
12_final.mp4,120,well
12_final.mp4,135,well
12_final.mp4,150,well
12_final.mp4,165,well
12_final.mp4,180,well
12_final.mp4,195,well
12_final.mp4,210,well
14_final.mp4,0,well
14_final.mp4,15,well
14_final.mp4,30,well
14_final.mp4,45,well
14_final.mp4,60,well
14_final.mp4,75,well
14_final.mp4,90,well
14_final.mp4,105,well
14_final.mp4,120,well
14_final.mp4,135,well
14_final.mp4,150,well
14_final.mp4,165,well
14_final.mp4,180,well
14_final.mp4,195,poorly
14_final.mp4,210,well
14_final.mp4,225,well
14_final.mp4,240,well
14_final.mp4,255,well
14_final.mp4,270,well
14_final.mp4,285,well
14_final.mp4,300,well
14_final.mp4,315,well
14_final.mp4,330,well
14_final.mp4,345,poorly
14_final.mp4,360,well
14_final.mp4,375,well
15_final.mp4,0,Well
15_final.mp4,15,well
15_final.mp4,30,poorly
15_final.mp4,45,well
15_final.mp4,60,well
15_final.mp4,75,well
15_final.mp4,90,well
15_final.mp4,105,well
15_final.mp4,120,poorly
15_final.mp4,135,poorly
15_final.mp4,150,well
15_final.mp4,165,poorly
15_final.mp4,180,well
15_final.mp4,195,poorly
15_final.mp4,210,well
19_final.mp4,0,poorly
19_final.mp4,15,poorly
19_final.mp4,30,well
19_final.mp4,45,poorly
19_final.mp4,60,well
19_final.mp4,75,poorly
19_final.mp4,90,poorly
19_final.mp4,105,poorly
19_final.mp4,120,poorly
19_final.mp4,135,well
19_final.mp4,150,poorly
19_final.mp4,165,poorly
19_final.mp4,180,poorly
19_final.mp4,195,well
19_final.mp4,210,poorly
19_final.mp4,225,well
19_final.mp4,240,poorly
19_final.mp4,255,poorly
21_final.mp4,0,poorly
21_final.mp4,15,well
21_final.mp4,30,well
21_final.mp4,45,well
21_final.mp4,60,well
21_final.mp4,75,well
21_final.mp4,90,well
21_final.mp4,105,well
21_final.mp4,120,well
21_final.mp4,135,poorly
21_final.mp4,150,well
21_final.mp4,165,poorly
21_final.mp4,180,poorly
21_final.mp4,195,poorly
21_final.mp4,210,poorly
21_final.mp4,225,well
21_final.mp4,240,poorly
21_final.mp4,255,poorly
21_final.mp4,270,poorly
21_final.mp4,285,poorly
21_final.mp4,300,poorly
21_final.mp4,315,poorly
22_final.mp4,0,well
22_final.mp4,15,well
